name,x,y
Baugnies,-56.0908158794,31.5701120796
Baulers,0.4877124005,25.4188240572
Bavegem,-33.9362969974,-10.947177377
Bavikhove,-72.9045555941,-3.611580498
Bazel,-4.5122954307,-33.4778058259
Beaufays,90.3037158074,31.8597753091
Beaumont,-7.9553257914,67.4585144357
Beauraing,42.5122288092,81.1528175405
Beausaint,84.3035245265,74.6062690676
Beauvechain,29.4665623733,7.2764984678
Beauwelz,-13.6622479481,91.5529531083
Beclers,-59.5547649215,24.9178576904
Beek,90.2364941632,-35.634624717
Beerlegem,-44.3352617828,-6.2397730028
Beernem,-72.7734390388,-31.3404235063
Beerse,34.0897346356,-52.1482703099
Beersel,-3.2670716845,8.6728636767
Beerst,-103.7319993179,-23.0659288981
Beert,-11.6715529043,12.3273860991
Beervelde,-33.1468341417,-26.0295312547
Beerzel,21.847230097,-24.1070659633
Beez,40.0103588147,41.8156184308
Beffe,82.1849411891,66.3729472978
Begijnendijk,30.2357395097,-19.7798664361
Beho,115.4562352699,69.1216423713
Beigem,0.8539527653,-11.8088112883
Bekegem,-90.7517589828,-33.7022003308
Bekkerzeel,-7.9646292402,-4.31484753
Bekkevoort,44.4067766453,-9.7144561399
Belgrade,33.018041873,41.7601114662
Bellaire,92.1765154971,22.3812885425
Bellecourt,-6.8536809786,40.0975882443
Bellefontaine,43.5987958606,102.2059049961
Bellefontaine,80.4203379434,129.6747468369
Bellegem,-75.1911822645,7.5959020975
Bellem,-59.7949661067,-27.1535250171
Bellevaux,116.5569539474,50.3464555109
Bellingen,-13.4396227387,12.0714268709
Beloeil,-43.1894090302,33.0793052403
Belsele,-18.2365826565,-34.6148157495
Ben-Ahin,57.929250341,38.0015304885
Bende,74.5497915553,47.4459390023
Berbroek,60.2100593014,-11.3697743517
Berchem,-59.176536927,6.2374157363
Berchem,5.6133361118,-38.5121388424
Berchem-Sainte-Agathe,-4.1391927986,-1.9367792235
Berendrecht,-2.2659440736,-55.7468028471
Berg,56.1588868152,-36.01807785
Bergilers,68.4790596449,14.6489287994
Beringen,60.9784299042,-22.6788601839
Berlaar,21.9144466141,-28.5790575291
Berlare,-23.879551589,-20.4424776219
Berlingen,67.318653854,2.5745962605
Berloz,60.5446210083,16.5111959702
Berneau,96.7920715384,11.567525525
Bernissart,-49.1994790863,41.0692259877
Bersillies-L'abbaye,-14.0045601397,64.4233170136
Bertem,19.6869467304,-2.6775528117
Bertogne,92.3230974378,84.0217323184
Bertrix,63.2318513462,109.0710216667
Bertrée,51.7694831622,16.9050168478
Berzée,3.4746627422,61.5636875673
Beselare,-92.7782277517,-0.43686299
Betekom,30.8103548514,-16.6360175754
Bettincourt,61.999418004,15.1545311252
Beuzet,27.8167718253,34.7288756596
Bevel,23.89643298,-32.3117612681
Bevercé,118.3973248735,44.8126459456
Bevere,-53.0512612674,-0.5340863353
Beveren,-84.7229164233,-13.5939089065
Beveren,-70.7896872239,-2.794747349
Beverlo,62.6305616391,-27.0923609646
Beverst,78.7072123781,-5.0695200834
Beyne-Heusay,91.3307576249,24.8869811371
Bienne-Lez-Happart,-9.5501586359,54.7541533397
Bierbeek,29.4493311795,2.4921569604
Biercée,-6.49398972,57.6257318702
Bierges,16.6778353043,15.0215398027
Bierghes,-16.0650215945,16.6390927258
Bierset,77.1473200881,21.2740545869
Bierwart,48.0183339878,31.9601436625
Biesme,17.9356812345,56.575020101
Biesme-Sous-Thuin,-3.0665809205,58.1051033646
Biesmerée,23.0590189529,60.6701174781
Biez,24.6759106536,13.3007551428
Bihain,102.1913133463,67.0751207065
Bikschote,-104.4419596431,-8.7289768441
Bilstain,110.1207284012,24.7234827511
Bilzen,81.7106687667,-2.7541219811
Binche,-12.7364133415,47.9745865984
Binderveld,57.3046794638,-2.1034646151
Binkom,37.8306285108,-2.843800626
Bioul,31.2869161504,56.6945779502
Bissegem,-78.8074173981,2.6367539043
Bizet,-102.5559299602,15.5849595736
Bièvre,46.6682744616,99.6531292449
Biévène,-28.6645854369,14.4377581389
Blaasveld,1.4491700228,-23.3839196179
Blaimont,33.9282817483,72.207431647
Blandain,-73.5432369706,24.5651662052
Blanden,24.8360451252,2.0431132655
Blankenberge,-85.7333998204,-52.4875686241
Blaregnies,-31.8291682983,54.0318686559
Blaton,-48.448208051,38.2383857718
Blaugies,-38.3478549564,52.3599146763
Blehen,54.2940083877,20.364959849
Bleid,89.4978027964,140.1694635494
Bleret,65.7549943851,17.4420737285
Blicquy,-46.7239197503,28.6739741275
Blégny,96.3699924463,19.281275882
Bléharies,-65.6840257689,36.9208629489
Bocholt,87.5521327299,-38.5829487617
Bodegnée,66.8241543048,28.8958056116
Boechout,11.1353628424,-34.9135656177
Boekhout,61.7238011064,11.2055662237
Boekhoute,-45.3059367257,-45.1306902645
Boezinge,-104.4883073368,-5.1960844505
Bogaarden,-15.0789330779,11.8487486522
Bohan,37.4883804609,108.0302814052
Boignée,18.2628805839,38.1646012993
Boirs,86.1000654035,10.2831849332
Bois-D'haine,-9.5422724545,38.1092925941
Bois-De-Lessines,-32.700037063,16.780443971
Bois-De-Villers,33.0938970968,50.4899814373
Bois-Et-Borsu,68.6581966405,49.9777842186
Bolinne,40.5717019764,27.2871969626
Bolland,98.7698121666,20.5335760623
Bomal,36.6123407748,19.7882541507
Bomal-Sur-Ourthe,82.1368382892,52.026491545
Bombaye,97.6118485123,12.9188648878
Bommershoven,72.3126457583,6.810406857
Bon-Secours,-52.2153611219,38.6303999633
Boncelles,83.0625945956,30.1659220475
Boneffe,42.5017466429,24.686655092
Bonheiden,13.0588412636,-19.9927738069
Boninne,40.5179477088,39.2064385436
Bonlez,23.7088852023,16.0233394905
Bonnert,102.9495584602,124.7057055531
Bonneville,47.8612277837,41.5732926497
Bonsin,72.0686683921,52.3864815594
Booischot,29.2988336663,-22.3401493103
Booitshoeke,-113.079607623,-26.935854438
Boom,1.05415232,-26.8297340709
Boorsem,95.6323117431,-10.4924969496
Boortmeerbeek,15.7234968525,-14.6585312556
Borchtlombeek,-15.0694917639,-0.1801025517
Borgerhout,6.2228220016,-40.5780328621
Borgloon,70.5333274755,5.1226155027
Borlez,62.680758817,23.6783827907
Borlo,57.7207838231,12.4350717814
Borlon,73.8912673454,51.7638128687
Bornem,-7.6736610602,-27.3978645073
Bornival,-6.0879902322,26.787759222
Borsbeek,9.6301219893,-38.6287266323
Borsbeke,-32.0723349124,-6.4668993477
Bossière,23.8758776915,35.785139892
Bossuit,-66.205690319,10.9352472716
Bossut-Gottechain,24.3722435572,9.4298204857
Bost,40.8500658447,6.876619796
Bothey,21.1013937002,35.9601046192
Bottelare,-41.8463516472,-13.0132900069
Bouffioulx,11.4713839697,50.4635699699
Bouge,37.8850645439,40.6974781107
Bougnies,-28.9436117246,50.8445424437
Bouillon,50.2046514845,115.5608302294
Bourlers,-0.72996291,90.2431981708
Bourseigne-Neuve,35.3144465142,90.4932387601
Bourseigne-Vieille,36.4491024331,90.8171762242
Boussoit,-18.922765932,42.9092347473
Boussu,-38.982348765,45.7390159526
Boussu-En-Fagne,8.3718480724,84.9846377205
Boussu-Lez-Walcourt,1.7594674052,68.4735038784
Bousval,11.7525441684,23.781326001
Boutersem,33.8124099769,-0.0876530162
Bouvignes-Sur-Meuse,38.3585476081,63.3941812531
Bouvignies,-40.9721010859,22.0496919411
Bouwel,27.0378457327,-35.182779736
Bovekerke,-97.4094618372,-23.3497906422
Bovelingen,63.3911957104,12.0939596828
Bovenistier,65.4354216186,19.8594879633
Bovesse,29.9594360329,36.7790869594
Bovigny,109.9115551578,68.6769803986
Boëlhe,57.2675197388,18.011111147
Bra,96.770160022,58.0861587946
Braffe,-53.9430312192,32.589908704
Braibant,49.9036435186,58.9639542632
Braine-L'alleud,0.218732364,16.9142541947
Braine-Le-Château,-5.9657086993,18.3774630069
Braine-Le-Comte,-14.6766606495,25.9605304559
Braives,55.556092088,24.0005844297
Brakel,-41.3195912151,5.395829377
Branchon,43.5193727527,24.0426265712
Bras,72.6923783387,95.8473629344
Brasmenil,-56.4392531924,33.7619057095
Brasschaat,9.6549592509,-49.8590497645
Bray,-17.4844709813,46.0842847576
Brecht,17.2276003026,-54.5369953278
Bredene,-96.7614847434,-43.7827897452
Bree,89.1954832163,-32.5569040469
Breendonk,-2.6721902846,-22.1282221655
Bressoux,88.3650342287,22.7588219662
Brielen,-105.5343806989,-2.4838502053
Broechem,17.1909773396,-37.341906393
Broekom,68.8118789509,7.1790256803
Brugelette,-34.8732483436,27.8312951726
Brugge,-80.2886162626,-41.071877163
Brunehaut,-68.2067057402,36.4032369566
